episode,level,reward,steps,epsilon
233,3,-183.7495179999508,72,0.3125753549412418
234,3,-183.6743179999508,74,0.31101247816653554
235,3,-183.92337026638353,69,0.30945741577570285
236,3,-183.8197179999508,81,0.3079101286968243
237,3,-183.69721406226273,76,0.3063705780533402
238,3,-184.50332825126387,75,0.30483872516307353
239,3,-183.80061406226272,76,0.3033145315372582
240,3,-184.76774164937916,77,0.3017979588795719
241,3,-184.42926593177748,78,0.30028896908517405
242,3,-185.86308263836983,74,0.2987875242397482
243,3,-184.53323455854633,74,0.29729358661854943
244,3,-185.02590374794477,73,0.29580711868545667
245,3,-183.86921406226273,72,0.2943280830920294
246,3,-185.3396184249593,69,0.29285644267656924
247,3,-183.5961179999508,66,0.2913921604631864
248,3,-184.750542673236,72,0.28993519966087045
249,3,-183.92997026638355,68,0.2884855236625661
250,3,-183.75626593177748,80,0.28704309604425327
251,3,-184.20871799995078,85,0.285607880564032
252,3,-184.01862273067778,75,0.28417984116121187
253,3,-184.25422273067775,71,0.2827589419554058
254,3,-183.8213179999508,74,0.28134514724562876
255,3,-183.67851799995077,78,0.2799384215094006
256,3,-183.85277026638354,68,0.27853872940185365
257,3,-184.4090659317775,83,0.27714603575484437
258,3,-184.28041406226274,92,0.2757603055760701
259,3,-184.10762273067778,69,0.2743815040481898
260,3,-184.91857026638354,88,0.2730095965279488
261,3,-183.99386593177746,84,0.27164454854530906
262,3,-184.63838130676507,76,0.2702863258025825
263,3,-183.80021406226274,80,0.2689348941735696
264,3,-183.7328659317775,71,0.26759021970270175
265,3,-184.2710753924365,74,0.2662522686041882
266,3,-183.79966593177747,73,0.2649210072611673
267,3,-184.45352825126386,71,0.26359640222486147
268,3,-183.81821406226274,77,0.26227842021373715
269,3,-183.7501179999508,69,0.2609670281126685
270,3,-183.55121406226274,74,0.25966219297210513
271,3,-187.0602389519026,78,0.2583638820072446
272,3,-183.78341406226272,69,0.2570720625972084
273,3,-183.47881406226273,65,0.25578670228422234
274,3,-184.25817026638353,75,0.25450776877280124
275,3,-183.7441179999508,70,0.2532352299289372
276,3,-184.04826593177748,75,0.2519690537792925
277,3,-183.81751799995078,68,0.2507092085103961
278,3,-183.65206593177749,68,0.2494556624678441
279,3,-184.2132753924365,69,0.24820838415550486
280,3,-183.55301406226272,75,0.24696734223472733
281,3,-183.85137026638353,69,0.2457325055235537
282,3,-183.80261406226273,76,0.24450384299593592
283,3,-183.81281406226273,77,0.24328132378095624
284,3,-187.05685266655252,71,0.24206491716205145
285,3,-183.98371799995078,72,0.2408545925762412
286,3,-183.6769179999508,66,0.23965031961336
287,3,-183.86977026638354,69,0.2384520680152932
288,3,-183.99717026638353,71,0.23725980767521673
289,3,-183.7469179999508,73,0.23607350863684065
