episode,level,reward,steps,loss,epsilon
365,5,25.0,157,1.5948238372802734,0.16128775296900558
366,5,252.5,274,1.2849884033203125,0.16048131420416054
367,5,-7.0,125,0.7995048761367798,0.15967890763313974
368,5,-6.5,121,2.3808181285858154,0.15888051309497406
369,5,-10.5,123,0.8093274235725403,0.1580861105294992
370,5,-8.5,118,0.8327400088310242,0.1572956799768517
371,5,-9.0,117,0.014226720668375492,0.15650920157696743
372,5,-10.0,121,1.5974682569503784,0.1557266555690826
373,5,-12.0,121,0.8122737407684326,0.1549480222912372
374,5,-11.5,122,0.8350626230239868,0.15417328217978102
375,5,-12.0,117,0.8310553431510925,0.1534024157688821
376,5,-12.0,115,0.034526050090789795,0.1526354036900377
377,5,-14.5,121,0.8409613966941833,0.1518722266715875
378,5,-11.5,118,0.761705219745636,0.15111286553822956
379,5,-16.0,117,0.014899492263793945,0.15035730121053842
380,5,-6.0,132,0.018323350697755814,0.14960551470448571
381,5,87.0,172,1.6115361452102661,0.14885748713096328
382,5,-13.0,117,0.007602541707456112,0.14811319969530845
383,5,-11.0,124,0.026401523500680923,0.1473726336968319
384,5,-6.0,127,0.795150637626648,0.14663577052834775
385,5,-14.0,120,0.7943189740180969,0.14590259167570602
386,5,-10.0,118,0.8138123154640198,0.1451730787173275
387,5,-16.0,136,0.8207788467407227,0.14444721332374086
388,5,-11.0,119,0.7980642914772034,0.14372497725712216
389,5,-8.0,119,0.8148801326751709,0.14300635237083656
390,5,-9.5,115,0.015936758369207382,0.14229132060898236
391,5,-18.5,119,0.05260690674185753,0.14157986400593744
392,5,-11.0,115,0.811035692691803,0.14087196468590776
393,5,-17.0,119,0.800306499004364,0.14016760486247823
394,5,-7.0,118,0.15466627478599548,0.13946676683816583
395,5,-17.0,119,0.8326632976531982,0.138769433003975
396,5,218.0,338,0.031022949144244194,0.13807558583895513
397,5,-8.0,123,0.7942839860916138,0.13738520790976036
398,5,-15.0,123,0.031082743778824806,0.13669828187021155
399,5,-9.0,120,0.8183157444000244,0.13601479046086049
400,5,-11.5,117,0.8419075012207031,0.1353347165085562
401,5,-13.5,118,0.8103433847427368,0.1346580429260134
402,5,-15.0,115,1.5947502851486206,0.13398475271138335
403,5,17.0,129,1.6211528778076172,0.13331482894782642
404,5,-6.5,129,0.009592251852154732,0.13264825480308728
405,5,11.5,122,0.7932719588279724,0.13198501352907185
406,5,88.0,181,0.03136345371603966,0.1313250884614265
407,5,-13.0,120,0.8336513638496399,0.13066846301911936
408,5,-14.0,122,1.5877512693405151,0.13001512070402377
409,5,-1.0,122,0.037309177219867706,0.12936504510050365
410,5,-7.0,123,0.003954766318202019,0.12871821987500112
411,5,-8.0,119,0.017473481595516205,0.12807462877562611
412,5,-13.5,119,0.010983406566083431,0.12743425563174798
413,5,-9.5,119,0.018445126712322235,0.12679708435358925
414,5,-7.0,121,0.11448073387145996,0.1261630989318213
415,5,-9.0,119,0.7947418093681335,0.1255322834371622
416,5,-11.5,121,2.373438596725464,0.12490462201997637
417,5,-10.0,131,0.021938007324934006,0.1242800989098765
418,5,-16.5,119,0.8494282364845276,0.12365869841532712
419,5,-18.0,119,0.019537726417183876,0.12304040492325048
420,5,-15.0,120,0.020725026726722717,0.12242520289863423
421,5,-10.0,116,0.7408750653266907,0.12181307688414106
422,5,-10.0,117,1.5837842226028442,0.12120401149972035
423,5,-9.0,121,0.8212653398513794,0.12059799144222175
424,5,152.0,240,0.017896410077810287,0.11999500148501063
425,5,128.0,244,0.8221499919891357,0.11939502647758558
426,5,-13.5,115,0.7952805161476135,0.11879805134519765
427,5,-6.0,120,0.018004262819886208,0.11820406108847166
428,5,-10.5,122,1.5732446908950806,0.1176130407830293
429,5,-8.0,118,0.04478955641388893,0.11702497557911415
430,5,-10.5,117,0.050401777029037476,0.11643985070121858
431,5,-6.5,121,0.013625678606331348,0.11585765144771248
432,5,-12.0,115,0.014129020273685455,0.11527836319047392
433,5,-9.5,115,1.579626202583313,0.11470197137452155
434,5,-8.5,117,0.7769673466682434,0.11412846151764894
435,5,-22.0,121,0.013918629847466946,0.1135578192100607
436,5,-10.0,119,0.002920650877058506,0.11299003011401039
437,5,-7.0,120,0.01065896637737751,0.11242507996344034
438,5,-9.5,119,1.5809931755065918,0.11186295456362313
439,5,38.0,141,0.045164432376623154,0.11130363979080501
440,5,354.5,400,0.027269922196865082,0.11074712159185099
441,5,-11.0,121,0.8227775692939758,0.11019338598389174
442,5,-10.0,117,0.01953265257179737,0.10964241905397228
443,5,-12.0,115,1.577319622039795,0.10909420695870241
444,5,-15.5,118,0.7943026423454285,0.1085487359239089
445,5,12.0,123,0.019003598019480705,0.10800599224428936
446,5,-19.0,121,2.3737502098083496,0.10746596228306791
447,5,-11.5,117,0.8247430920600891,0.10692863247165257
448,5,-11.5,115,0.8151207566261292,0.1063939893092943
449,5,-19.5,124,0.01635586842894554,0.10586201936274783
450,5,-12.0,126,0.01848376914858818,0.10533270926593409
451,5,57.0,261,0.8063071370124817,0.10480604571960442
452,5,-7.5,127,0.7906498312950134,0.1042820154910064
453,5,23.0,132,0.8005797266960144,0.10376060541355137
454,5,-10.0,123,0.7955685257911682,0.1032418023864836
455,5,-12.5,118,0.8489039540290833,0.10272559337455119
456,5,8.0,125,0.03626561537384987,0.10221196540767843
457,5,-9.0,121,0.8423111438751221,0.10170090558064004
458,5,-11.0,121,0.0312802754342556,0.10119240105273684
459,5,-14.0,120,1.5927212238311768,0.10068643904747315
460,5,-9.0,118,0.8211112022399902,0.10018300685223579
461,5,-12.0,115,0.8109555840492249,0.0996820918179746
462,5,53.0,174,0.008129558525979519,0.09918368135888474
463,5,106.0,186,0.15733762085437775,0.09868776295209031
464,5,227.5,275,0.7647940516471863,0.09819432413732986
465,5,-14.5,129,0.8300690650939941,0.09770335251664321
466,5,-17.5,115,3.1876254081726074,0.09721483575406
467,5,-5.5,120,0.7918372750282288,0.09672876157528969
468,5,-14.0,126,0.024362724274396896,0.09624511776741324
469,5,-15.0,120,0.03569775074720383,0.09576389217857617
470,5,17.0,134,0.02026248537003994,0.09528507271768329
471,5,12.5,128,0.8199037909507751,0.09480864735409487
472,5,-5.0,120,0.054538656026124954,0.0943346041173244
473,5,9.5,122,0.01848970167338848,0.09386293109673778
474,5,-0.5,118,0.015519734472036362,0.09339361644125409
475,5,18.0,141,0.03291001170873642,0.09292664835904782
476,5,-8.5,124,0.8007088303565979,0.09246201511725258
477,5,7.0,120,0.03696632385253906,0.09199970504166631
478,5,-7.5,117,0.7890781164169312,0.09153970651645797
479,5,-2.0,121,1.5884472131729126,0.09108200798387568
480,5,-13.5,118,0.8033524751663208,0.0906265979439563
481,5,49.5,199,0.23147132992744446,0.09017346495423652
482,5,-16.0,117,0.030629584565758705,0.08972259762946533
483,5,4.0,132,0.02239409275352955,0.089273984641318
484,5,96.0,173,0.7736847996711731,0.0888276147181114
485,5,155.0,266,0.06638412922620773,0.08838347664452084
